"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Longevity regulating pathway","26/102",0.0454670240713275,0.298685941103605,0,0,1.52441805088537,4.71162247155612,"PRKAA2;IRS1;PRKAG1;ADCY2;FOXO3;PRKAG3;RPTOR;STK11;AKT2;SESN1;PRKACA;PPARGC1A;HRAS;HSPA8;PRKAB2;HSPA1L;TSC2;TSC1;HSPA2;MTOR;SOD1;ADCY9;AKT1S1;ULK1;CRYAB;ATF4"
"mTOR signaling pathway","37/154",0.0464109733625027,0.298685941103605,0,0,1.40985679764558,4.32856962484884,"PRKAA2;CAB39;IRS1;MAPKAP1;NPRL2;IKBKB;RPTOR;STK11;DEPTOR;AKT2;DVL1;MLST8;DVL3;ATP6V1E2;ATP6V1D;HRAS;EIF4B;ATP6V1G2;MAP2K2;MIOS;STRADB;FZD9;TSC2;TSC1;WNT9A;MTOR;CLIP1;RRAGB;CASTOR2;RRAGD;AKT1S1;ULK2;ULK1;RAF1;LPIN1;SOS2;LAMTOR5"
"Thyroid hormone signaling pathway","30/121",0.0470598428105358,0.298685941103605,0,0,1.46926364878602,4.49056226058396,"THRB;THRA;ATP1A4;ATP2A2;ATP2A1;ATP1A2;RXRB;MED14;PLN;RXRA;AKT2;PRKACA;HRAS;RXRG;NCOA1;MAP2K2;ATP1B4;TSC2;ATP1B1;MTOR;KAT2B;MED24;TBC1D4;RCAN2;RAF1;PLCD3;PFKM;PLCD4;MYH6;MYH7"
"Starch and sucrose metabolism","11/36",0.0531875923199605,0.330826824230154,0,0,1.95873293282359,5.7467855817587,"GPI;GYS1;UGP2;AMY2B;GBE1;AGL;PYGM;GYG1;PGM1;GANC;HK1"
"Gastric acid secretion","20/76",0.0545484297720823,0.332435476064261,0,0,1.59076688436119,4.62701011078382,"CAMK2B;MYLK2;CAMK2D;KCNE2;CALML6;CAMK2A;ATP1A4;ATP1B4;KCNJ16;ADCY2;ATP1A2;ATP1B1;MYLK3;MYLK4;ADCY9;GNAS;CALM3;PRKACA;CAMK2G;KCNJ2"
"Apelin signaling pathway","33/137",0.0555840667374326,0.332435476064261,0,0,1.41419854184277,4.08683394307619,"RYR1;HDAC4;MYLK2;HDAC5;PRKAA2;CALML6;PRKAG1;ADCY2;MYLK3;PRKAG3;RYR3;MYLK4;AKT2;NOS1;PRKACA;PPARGC1A;HRAS;MEF2D;MEF2A;GABARAPL2;MEF2C;PRKAB2;MAP2K2;SMAD3;RRAS2;MTOR;SLC8A3;ADCY9;MRAS;MYL2;MYL3;CALM3;RAF1"
"Lysine degradation","17/63",0.0589303626623581,0.343552931367217,0,0,1.64575801541243,4.65979731276841,"GCDH;ECHS1;SETD7;SETMAR;DLST;ASH1L;DHTKD1;ACAT1;HADHA;TMLHE;ALDH1B1;NSD2;SMYD2;SMYD1;HADH;DLD;EZH1"
"Calcium signaling pathway","54/240",0.0596522774721212,0.343552931367217,0,0,1.29485956733726,3.65049781001307,"RET;RYR1;MYLK2;CALML6;ATP2A2;ATP2A1;RYR3;MYLK3;MYLK4;PPP3CB;PPP3CC;NOS1;PRKACA;TNNC1;TNNC2;TACR2;PHKA1;TRDN;ADCY9;STIM1;ITPKA;VDAC3;PPIF;CASQ2;VDAC2;VDAC1;CASQ1;SLC25A4;CAMK2B;CAMK2D;CAMK2A;ADCY2;ADRB2;PLN;PHKG1;ERBB4;GNA11;CACNA1S;CAMK2G;EGF;VEGFB;PHKB;ATP2B2;SLC8A3;FGF16;P2RX6;GDNF;HRC;GNAS;CALM3;PLCD3;FGFR4;PLCD4;MCU"
"Arginine and proline metabolism","14/50",0.0624434797101038,0.353089494360769,0,0,1.7314536455012,4.80217535521052,"GAMT;ARG2;CKM;GOT1;ODC1;GOT2;HOGA1;AGMAT;CKMT2;ALDH4A1;ALDH1B1;CARNS1;NOS1;PRODH"
"FoxO signaling pathway","31/131",0.0755241144769056,0.419428564327101,0,0,1.38121087314662,3.56808657438354,"PRKAA2;IRS1;SETD7;ARAF;PRKAG1;FOXO6;FOXO4;SLC2A4;FOXO3;PRKAG3;IKBKB;MAPK9;STK11;AKT2;HOMER3;HRAS;GABARAPL2;PRKAB2;MAP2K2;SMAD3;HOMER1;HOMER2;PRMT1;EGF;BNIP3;FBXO32;MAPK12;GADD45G;BCL6;RAF1;SOS2"
