"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Cardiac Myofibril Assembly (GO:0055003)","12/15",3.78862138798734e-07,4.53335610654028e-05,0,0,17.8355640535373,263.718316791759,"FHOD3;MEF2A;CSRP3;ADPRHL1;MYL2;NRAP;TCAP;NEB;PROX1;OBSL1;MYLK3;TTN"
"Mitochondrial RNA Metabolic Process (GO:0000959)","14/20",6.14260852450034e-07,7.14590125016873e-05,0,0,10.4078527830919,148.861917190582,"FASTKD1;MTERF3;FASTKD2;MTERF2;MTERF4;TWNK;TFB2M;FOXO3;MRPL12;POLRMT;TBRG4;FASTK;FASTKD5;SLC25A33"
"Fatty Acid Beta-Oxidation (GO:0006635)","24/49",1.06101040836431e-06,0.000120094907844047,0,0,4.28882433543437,58.9983065499365,"GCDH;ACADVL;ACOT8;ACAA2;ECHS1;ECI1;ECI2;ETFDH;ETFA;ETFB;MTLN;MCAT;ACAT1;HADHB;HADHA;AUH;CPT2;IVD;ECHDC2;ACADM;DECR2;ACADS;CRAT;DECR1"
"Mitochondrial Electron Transport, Cytochrome C To Oxygen (GO:0006123)","12/16",1.26016955516638e-06,0.000138883949922021,0,0,13.3758535919148,181.701130142585,"COX8A;COX7B;COX15;NDUFA4;COX4I1;CYCS;COX5B;COX6C;COX5A;COX6A2;COX7C;COX6B1"
"2-Oxoglutarate Metabolic Process (GO:0006103)","11/14",1.66143894283503e-06,0.000178412981861362,0,0,16.3448024758784,217.513795493813,"PHYH;GOT1;ADHFE1;GPT2;GOT2;IDH2;OGDH;DLST;OGDHL;D2HGDH;L2HGDH"
"Mitochondrial Membrane Organization (GO:0007006)","18/32",1.81221143317367e-06,0.000189738537053283,0,0,5.73840140707446,75.8671908008949,"HSPA9;APOOL;MTX2;BNIP3;DNAJC11;IMMT;GHITM;SPG7;MAIP1;TIMM50;CHCHD3;SAMM50;OPA1;TMEM11;BCL2;PPIF;MFN2;SLC25A4"
"Mitochondrial Electron Transport, Ubiquinol To Cytochrome C (GO:0006122)","10/12",1.98122379948935e-06,0.000202374762738083,0,0,22.2836472836473,292.624306334883,"UQCRB;UQCRQ;UQCRC1;CYCS;UQCRFS1;UQCR11;UQCR10;UQCRC2;UQCRFS1P1;UQCRH"
"Proteasomal Protein Catabolic Process (GO:0010498)","68/220",4.32911315769136e-06,0.000422954644606143,0,0,2.00726330389079,24.7899985777201,"TRIM72;GSK3A;UBXN1;UBXN2A;FAF1;PSMD8;ANKRD9;PSMD7;PSMD4;PSMD2;DDI2;PSMD3;UBXN6;SKP1;FBXW5;KCTD2;UBE4B;RAD23A;ARMC8;RAD23B;SIRT2;RNF126;CDC34;PSME4;PLAA;RNF122;PRKN;PSMD12;PSMD11;RNF34;CUL3;CUL1;NEDD4L;RNF5;PSMA7;FBXL22;PSMB6;BAG6;RMND5B;ZNRF1;PSMB5;SHARPIN;HECTD1;MTA1;RMND5A;FEM1C;SOCS6;DCAF11;KLHDC2;KLHDC3;ATE1;UBE2B;FBXL17;WWP1;KLHL22;PEX10;UBE2G1;PEX12;SPSB3;CUL4A;NSFL1C;GID4;PSMC6;PSMC3;PSMC1;STUB1;ASB2;RNF187"
"Regulation Of Heart Contraction (GO:0008016)","29/69",4.34265752580328e-06,0.000422954644606143,0,0,3.24041575192097,40.009491266712,"SPTBN4;GSK3A;CAMK2D;KCNE5;HSPB7;ATP2A2;ATP2A1;ATP1A2;PLN;TMEM65;NOS1;PRKACA;SCN1B;MEF2A;CYP2J2;CAV3;DMPK;S100A1;KCNJ12;PDE4D;TPM1;ATP2B2;SLC8A3;DES;TNNT2;FXYD1;HRC;CALM3;MYH6"
"Muscle Tissue Development (GO:0060537)","19/37",5.7840758292857e-06,0.000529156630274182,0,0,4.71129051876178,56.8200574207989,"POPDC2;MYOG;ZBTB18;POPDC3;MYH7B;SRPK3;SVIL;MEF2C;SIX1;MYL6B;CSRP3;SIX4;MYOD1;MYF6;DMD;MYOZ1;BVES;MYOZ2;MYF5"
"ATP Metabolic Process (GO:0046034)","18/34",5.81213108706121e-06,0.000529156630274182,0,0,5.02048563611491,60.5247821718515,"HSPA8;PARG;PARP1;OLA1;ATP1A2;ATP1B1;ATP5F1C;CLPX;ATP5F1A;ATP5F1B;MYH3;NMNAT1;ATP5PO;MYH8;NDUFS1;ALDOA;MYH6;MYH7"
