"","gene","log2FoldChange","padj","pvalue","baseMean","stat"
"AC114947.2","AC114947.2",-0.540763897662456,0.000175267122379625,5.40410482636638e-05,9.12022105510747,-4.03742528370529
"AC097639.1","AC097639.1",-0.568076943026941,0.000175916922935906,5.42555448360319e-05,31.0313255530337,-4.03649559103654
"MAS1","MAS1",-0.523138119449622,0.000175972794831962,5.42774914692158e-05,23.7735205923609,-4.03640066419049
"KCNU1","KCNU1",-2.09945902015647,0.000178081779801554,5.49900198862071e-05,0.879604171615228,-4.03333832051753
"HHIP","HHIP",-1.08753451253334,0.000178732974798221,5.52006805588804e-05,363.514240850699,-4.03244013021397
"LRRC66","LRRC66",-0.593447644545957,0.000179400790278209,5.54195658291202e-05,12.3451360430224,-4.03151030621803
"PDZD3","PDZD3",-0.788221857469042,0.000179868453571491,5.5580282266699e-05,2.47684990993367,-4.03082979566884
"AC099329.2","AC099329.2",-0.670106400310927,0.000180502516962309,5.57907198155882e-05,8.87111936585375,-4.02994156730842
"OR5M2P","OR5M2P",-0.540089104546164,0.000181046913423761,5.59686865226095e-05,8.42639756136318,-4.02919286744184
"AL359182.2","AL359182.2",-1.24854163523663,0.000181935891244088,5.62692281395529e-05,1.25198615121171,-4.02793360410403
"EEF1DP7","EEF1DP7",-0.629384652649473,0.000181935891244088,5.62727521507314e-05,9.64651721458533,-4.02791887639257
"RPS15P5","RPS15P5",-0.672849018404166,0.000182333111721979,5.64192440838282e-05,4.75026165103862,-4.02730742220177
"RN7SKP150","RN7SKP150",-0.816365465075665,0.000182436242630084,5.64633626167806e-05,3.61325558512881,-4.02712356703421
"PKMP3","PKMP3",-0.507613688625363,0.000182436242630084,5.6466615086213e-05,13.1597424602243,-4.02711001840418
"LGI3","LGI3",-1.17198343482505,0.000182681269377948,5.65522435600785e-05,13.7777053969433,-4.02675358631447
"AC024270.4","AC024270.4",-0.764986335482448,0.00018345048233371,5.68051127811453e-05,3.07121954996001,-4.02570398367564
