"Fibroid","Myeloid","Lymphoid","IFN_high","Vascular","Muscle","sample_id","cluster_bio"
0.331972480707831,-0.0397426810179829,-0.372328182768528,-1.17254430398021,0.904341391712509,-0.0937866791383437,"STRAPPAT00055-baseline","Vascular"
-0.360756178263509,-0.816213838430852,-0.356566410192009,-0.913478485058712,1.73611495011795,-0.246872063370198,"STRAPPAT00139-baseline","Vascular"
0.229802604398513,-0.264575591982529,-0.103503786694278,0.507079491388273,1.28518325033563,-0.284754137687319,"STRAPPAT00165-baseline","Vascular"
-0.308720311521306,-0.176638661985149,0.351795536681038,0.16172846452881,2.12268146081797,-0.0712368943293973,"STRAPPAT00160-baseline","Vascular"
0.413348838659621,1.26247768005653,0.938162210357751,1.72896205619243,-0.204517425536902,-0.34934439541345,"STRAPPAT00121-baseline","Lymphoid"
0.630412114700898,-0.459473921203095,-0.755173017916627,-0.283882000285515,0.375488492134383,-0.208604373803342,"STRAPPAT00004-baseline","Vascular"
-1.19439373493483,-1.16496100275628,0.0678501049649954,-0.730280789404872,0.834916779791538,0.0328906888972344,"STRAPPAT00093-baseline","Fibroid"
-0.801109173098597,-1.24002439768008,-0.45060383983007,-0.436728994911591,1.88509821649542,-0.150948777026422,"STRAPPAT00172-baseline","Vascular"
-1.29165524059497,-1.83771335934286,-1.65838909201505,-0.825026160124683,-0.831581070370656,-0.177998223000492,"STRAPPAT00070-baseline","Fibroid"
-1.03712627659204,-1.08424435991385,-0.910799231752014,-0.832722159653195,-0.234350998255181,6.18535062657994,"STRAPPAT00199-baseline","Myeloid"
0.431284477827799,0.676443865363606,0.396419888050287,1.046570428966,0.238752147311752,-0.261184571371464,"STRAPPAT00006-baseline","Lymphoid"
-0.537089853281695,1.13379721262681,1.28066452169567,0.0146483709848271,-1.19343734303924,-0.23555050657287,"STRAPPAT00005-baseline","Lymphoid"
0.246661191957208,-0.650695192023215,-0.915385147001463,-1.10449549388334,1.24829318788616,-0.252229138936465,"STRAPPAT00003-baseline","Vascular"
-0.290132075738483,0.578920224707324,1.54839113236764,0.259281586550783,-0.322366917450511,-0.0107750055184814,"STRAPPAT00002-baseline","Lymphoid"
0.116540748642942,-0.418630650792277,-0.457795769313599,-1.13878045866638,1.54532953666563,-0.214780898561604,"STRAPPAT00177-baseline","Vascular"
0.56376479108672,0.61157248837597,0.713091253686098,0.469690632940518,-0.258657875227649,-0.199956742470483,"STRAPPAT00001-baseline","Lymphoid"
0.215830096271563,0.661871413080414,0.512112925084494,0.169049751849893,-0.303538045386258,-0.242454317134503,"STRAPPAT00019-baseline","Lymphoid"
0.017209999198863,0.205670509492678,-0.180741534714525,-0.105660783865459,-0.0511646175254285,2.7302589503838,"STRAPPAT00018-baseline","Vascular"
0.343985119268522,-1.04895088265727,-1.30585278823623,-1.24899107510573,0.4990647697574,-0.172611632980508,"STRAPPAT00017-baseline","Vascular"
